"<1783681654573>" ,-0.34674948,0.44376287,0.22105633,0.7962245,2.556965,-0.73064125,6.585691
"<1783681654616>" ,-0.351165,0.44472274,0.21887742,0.7943535,2.5564377,-0.7310807,6.5848384
"<1783681654633>" ,-0.3524602,0.44283664,0.21866213,0.7948927,2.5559866,-0.7314834,6.584382
"<1783681654667>" ,-0.35339475,0.43991995,0.21756345,0.7963973,2.5554543,-0.73210096,6.583779
"<1783681654700>" ,-0.35302684,0.44038084,0.21661444,0.79656446,2.5552225,-0.732236,6.5836926
"<1783681654733>" ,-0.3518286,0.43994302,0.21647413,0.79737425,2.5548742,-0.7326775,6.583879
"<1783681654767>" ,-0.35038942,0.43884245,0.21718456,0.7984206,2.554237,-0.7333526,6.584223
"<1783681654800>" ,-0.34998333,0.4381625,0.21863286,0.7985768,2.5530536,-0.7342889,6.5842795
"<1783681654833>" ,-0.35012218,0.43922958,0.21934088,0.79773515,2.5519466,-0.73512125,6.5844874
"<1783681654866>" ,-0.35051614,0.44225758,0.21975625,0.79577243,2.5509052,-0.7359094,6.584631
"<1783681654900>" ,-0.35075185,0.44480607,0.2202307,0.79411536,2.5499103,-0.7363493,6.584353
"<1783681654933>" ,-0.34953555,0.44933838,0.22066404,0.7919768,2.5491786,-0.73749214,6.5842166
"<1783681654966>" ,-0.34726867,0.45488387,0.22192673,0.7894515,2.548653,-0.7390607,6.583723
"<1783681655000>" ,-0.34441537,0.4572161,0.22457767,0.788604,2.5475938,-0.7414713,6.582973
"<1783681655033>" ,-0.3415463,0.45737526,0.22703855,0.7890548,2.5463617,-0.7445374,6.581843
"<1783681655066>" ,-0.33903536,0.45676377,0.22874211,0.78999937,2.544984,-0.7479278,6.5804935
"<1783681655103>" ,-0.3368839,0.45719314,0.22855842,0.79072416,2.5435908,-0.7512139,6.5784173
"<1783681655135>" ,-0.3350348,0.45965624,0.22579534,0.7908757,2.5422018,-0.7545078,6.5759563
"<1783681655167>" ,-0.33285746,0.46203154,0.22336476,0.7911011,2.5402586,-0.7580357,6.573261
"<1783681655199>" ,-0.3297077,0.46148902,0.2240506,0.79254144,2.5371473,-0.76231277,6.570628
"<1783681655234>" ,-0.3264932,0.45768577,0.22826749,0.794871,2.53278,-0.76738876,6.568191
"<1783681655267>" ,-0.3227339,0.45425263,0.2340175,0.79670143,2.5278687,-0.77277255,6.566189
"<1783681655301>" ,-0.31915644,0.45254678,0.23999232,0.7973357,2.522542,-0.7783832,6.5646057
"<1783681655335>" ,-0.31593773,0.4523461,0.24557342,0.797032,2.5169563,-0.7840468,6.563381
"<1783681655367>" ,-0.3137098,0.45302096,0.24999894,0.7961524,2.5113175,-0.78934133,6.562413
"<1783681655401>" ,-0.31268772,0.45522976,0.25255257,0.7944869,2.5056376,-0.7942956,6.561173
"<1783681655435>" ,-0.31332576,0.45826647,0.25259352,0.7924741,2.4999638,-0.7987857,6.559569
"<1783681655468>" ,-0.31512,0.46200454,0.25212196,0.7897377,2.4943361,-0.8024029,6.557453
"<1783681655501>" ,-0.31749058,0.463896,0.2505154,0.78818923,2.4885142,-0.8054569,6.5548983
"<1783681655534>" ,-0.31943616,0.46385542,0.24687685,0.788575,2.4828687,-0.8078302,6.5520673
"<1783681655568>" ,-0.31982568,0.464332,0.24195251,0.7896622,2.4775052,-0.80962515,6.549081
"<1783681655601>" ,-0.32003197,0.46276286,0.23672198,0.7920813,2.4722044,-0.8110853,6.5460653
"<1783681655635>" ,-0.32144555,0.4610416,0.23305799,0.7935977,2.4665556,-0.81251556,6.5431466
"<1783681655669>" ,-0.32323626,0.45960748,0.23205675,0.79399556,2.4610484,-0.8132476,6.5407357
"<1783681655702>" ,-0.3245888,0.45870703,0.23198734,0.7939848,2.4552338,-0.81415564,6.538658
"<1783681655736>" ,-0.32441756,0.45967877,0.23304969,0.7931813,2.4495854,-0.8150613,6.537182
"<1783681655768>" ,-0.32190204,0.4591582,0.23607713,0.79361224,2.4443753,-0.81581867,6.5364375
"<1783681655803>" ,-0.3188887,0.45892063,0.24024789,0.7937145,2.4394188,-0.81687266,6.536047
"<1783681655836>" ,-0.31699666,0.45770454,0.24401988,0.7940239,2.4347477,-0.81808907,6.5355687
"<1783681655868>" ,-0.3162198,0.45711672,0.24661624,0.79387015,2.4307542,-0.81874853,6.5351872
"<1783681655903>" ,-0.31593275,0.45879844,0.2469184,0.7929198,2.4275608,-0.8190762,6.5346546
"<1783681655935>" ,-0.31446132,0.46090564,0.2448266,0.7929313,2.4251022,-0.81908727,6.534108
"<1783681655969>" ,-0.3123805,0.46216714,0.24243145,0.793755,2.4229062,-0.8190364,6.5335193
"<1783681656002>" ,-0.30916706,0.46231955,0.23827463,0.79617935,2.420002,-0.8191071,6.531889
"<1783681656036>" ,-0.30920058,0.46329522,0.2366205,0.7960925,2.4178529,-0.8200488,6.530889
"<1783681656071>" ,-0.31073746,0.46441913,0.23576227,0.79509324,2.4151332,-0.8210197,6.52981
"<1783681656104>" ,-0.3130707,0.46426368,0.23494157,0.7945114,2.4132802,-0.8226601,6.5288286
"<1783681656136>" ,-0.31435767,0.46473712,0.23336445,0.79419124,2.412371,-0.8241641,6.5281405
"<1783681656170>" ,-0.3127004,0.4655188,0.23153186,0.79492366,2.4124632,-0.8250967,6.527846
"<1783681656203>" ,-0.30990002,0.46522778,0.22886996,0.79695904,2.4131355,-0.8259563,6.5276413
"<1783681656237>" ,-0.30562678,0.46764216,0.22511542,0.79826444,2.4144819,-0.8266076,6.5275903
"<1783681656270>" ,-0.30229113,0.46876553,0.22404933,0.7991751,2.4153116,-0.8280106,6.5270634
"<1783681656306>" ,-0.3032686,0.46601337,0.22643398,0.79974204,2.4148538,-0.82972664,6.5265117
"<1783681656337>" ,-0.30562398,0.46513867,0.22681904,0.79924536,2.4145975,-0.83094203,6.5256834
"<1783681656371>" ,-0.30671418,0.4677838,0.22450952,0.79793495,2.4155388,-0.8315231,6.5247107
"<1783681656405>" ,-0.30696058,0.4703271,0.22332709,0.7966759,2.4158766,-0.8318516,6.524216
"<1783681656437>" ,-0.30624723,0.4699698,0.22484967,0.7967331,2.4156816,-0.83222526,6.524063
"<1783681656470>" ,-0.3054257,0.47025278,0.22665717,0.79636925,2.4156158,-0.8323813,6.523784
"<1783681656504>" ,-0.3046366,0.47196677,0.22817232,0.7952241,2.4157462,-0.8325138,6.524048
"<1783681656538>" ,-0.30381227,0.4717278,0.22962016,0.7952645,2.4157133,-0.83275783,6.524295
"<1783681656571>" ,-0.30298576,0.47246158,0.23092738,0.7947655,2.4159236,-0.83285177,6.524184
"<1783681656605>" ,-0.30144998,0.47424722,0.23038185,0.79444426,2.4164674,-0.8327106,6.5241427
"<1783681656638>" ,-0.29946354,0.476439,0.2296508,0.7940957,2.4169815,-0.8324986,6.523965
"<1783681656671>" ,-0.29734328,0.4778575,0.22953504,0.7940735,2.4171326,-0.83228135,6.523963
"<1783681656705>" ,-0.2953462,0.47898793,0.23083788,0.79376006,2.4167423,-0.8326237,6.523935
"<1783681656738>" ,-0.29373968,0.48091435,0.23221561,0.7927889,2.4161851,-0.83307296,6.523697
"<1783681656772>" ,-0.29297358,0.4820179,0.23263061,0.7922804,2.415201,-0.8329792,6.5234046
"<1783681656806>" ,-0.29149908,0.48315093,0.23231566,0.7922265,2.4147081,-0.832975,6.522788
"<1783681656839>" ,-0.2895805,0.4844708,0.23088886,0.79254115,2.4145832,-0.8327394,6.522011
"<1783681656872>" ,-0.28784648,0.485627,0.22911595,0.79297966,2.414463,-0.83207333,6.521301
"<1783681656906>" ,-0.28563008,0.4868725,0.22838922,0.79322696,2.4142349,-0.8317734,6.520661
"<1783681656939>" ,-0.2826868,0.48622382,0.23016874,0.7941643,2.41358,-0.83182275,6.5200877
"<1783681656973>" ,-0.2818461,0.48604926,0.23213878,0.7939965,2.4129305,-0.831738,6.5191817
"<1783681657006>" ,-0.28401864,0.48644456,0.23189582,0.7930507,2.4123578,-0.83148986,6.518289
"<1783681657040>" ,-0.2866912,0.4869642,0.23248065,0.7915976,2.4119124,-0.8315603,6.517591
"<1783681657073>" ,-0.28724208,0.4874699,0.23305322,0.79091793,2.4120927,-0.83099043,6.518206
"<1783681657106>" ,-0.28592873,0.48864177,0.2336614,0.7904912,2.4125912,-0.8308679,6.51864
"<1783681657141>" ,-0.2843791,0.48938736,0.23468798,0.7902848,2.4131143,-0.8307098,6.5192947
"<1783681657175>" ,-0.28357202,0.49055058,0.23648687,0.7893168,2.4134219,-0.83080137,6.51988
"<1783681657212>" ,-0.28237247,0.4906466,0.23787594,0.78926975,2.4136207,-0.83098984,6.520341
"<1783681657242>" ,-0.28132126,0.49104688,0.23785521,0.78940237,2.4138248,-0.8307877,6.5206513
"<1783681657282>" ,-0.2817673,0.49139854,0.23766686,0.7890812,2.4136674,-0.8304032,6.5204053
"<1783681657308>" ,-0.28285664,0.49153012,0.23865941,0.7883096,2.4131055,-0.8302114,6.5200496
"<1783681657346>" ,-0.2837819,0.49184534,0.23931456,0.78758144,2.412595,-0.82992864,6.5195837
"<1783681657380>" ,-0.28619638,0.4924709,0.2385648,0.7865436,2.4126236,-0.8293029,6.5186105
"<1783681657415>" ,-0.28957635,0.49214125,0.23834394,0.7855792,2.412124,-0.82848835,6.517565
"<1783681657448>" ,-0.29121187,0.49196112,0.23717171,0.7854422,2.412074,-0.8274035,6.5166554
"<1783681657494>" ,-0.29260823,0.49127543,0.23588851,0.7857388,2.4121017,-0.826487,6.515393
"<1783681657535>" ,-0.2943496,0.49028406,0.23588662,0.78570825,2.4120014,-0.82579494,6.5146337
"<1783681657565>" ,-0.2951577,0.49044713,0.23640682,0.7851467,2.4121094,-0.8251674,6.514156
"<1783681657596>" ,-0.29556534,0.49059153,0.23750775,0.7845707,2.4122348,-0.8243859,6.513913
"<1783681657615>" ,-0.29612342,0.49087894,0.2387075,0.783816,2.4123073,-0.8232859,6.5137405
"<1783681657647>" ,-0.2963468,0.49202627,0.23934643,0.7828167,2.41251,-0.8220991,6.5134053
"<1783681657684>" ,-0.29562557,0.49198925,0.23873045,0.7833007,2.4131296,-0.8203998,6.513043
"<1783681657709>" ,-0.29382753,0.49191287,0.23690489,0.7845784,2.4138994,-0.81869745,6.512692
"<1783681657743>" ,-0.2936289,0.49186647,0.23642164,0.78482753,2.4141045,-0.8172395,6.512224
"<1783681657781>" ,-0.29491872,0.4911129,0.23817931,0.7842842,2.4137285,-0.8165276,6.5111876
"<1783681657816>" ,-0.2954788,0.4903237,0.24038756,0.7838933,2.4135108,-0.8156038,6.510429
"<1783681657844>" ,-0.2956315,0.49102333,0.24049404,0.78336495,2.4141607,-0.8140518,6.509487
"<1783681657883>" ,-0.29595977,0.49150923,0.23922773,0.78332406,2.4154406,-0.8116487,6.5080514
"<1783681657916>" ,-0.29466543,0.4920734,0.2376982,0.78392327,2.4173853,-0.8090589,6.5068974
"<1783681657944>" ,-0.2933008,0.49127147,0.23667291,0.785247,2.419262,-0.8064546,6.5055094
"<1783681657979>" ,-0.29243582,0.48945406,0.23676832,0.7866745,2.4209502,-0.8039043,6.504098
"<1783681658032>" ,-0.29056954,0.48868132,0.23690653,0.787804,2.4230132,-0.8013886,6.502794
"<1783681658050>" ,-0.28939888,0.48828328,0.23716553,0.78840363,2.4241261,-0.80021095,6.5021234
"<1783681658082>" ,-0.28694755,0.48510635,0.23860684,0.79082215,2.427524,-0.79703784,6.4995728
"<1783681658117>" ,-0.28690642,0.48345256,0.23722203,0.7922652,2.430195,-0.7947097,6.4971538
"<1783681658153>" ,-0.28765115,0.48266175,0.2341244,0.79339784,2.4332788,-0.7922703,6.4942737
"<1783681658184>" ,-0.2880468,0.48151892,0.23299204,0.7942816,2.4361787,-0.790525,6.4917836
"<1783681658224>" ,-0.28762892,0.479847,0.23453191,0.7949913,2.4389653,-0.7897074,6.4899077
"<1783681658243>" ,-0.2875559,0.47768265,0.23700535,0.7955874,2.4420695,-0.7891091,6.4882584
"<1783681658278>" ,-0.28699413,0.47681728,0.23868588,0.79580694,2.4454372,-0.78855556,6.486872
"<1783681658309>" ,-0.28518903,0.4770056,0.24000691,0.7959457,2.448883,-0.78805333,6.485732
