frame_idx,aperture,state
0,0.33285,CLOSED
1,0.33652,CLOSED
2,0.33705,CLOSED
3,0.33720,CLOSED
4,0.33677,CLOSED
5,0.33657,CLOSED
6,0.33677,CLOSED
7,0.33695,CLOSED
8,0.33651,CLOSED
9,0.33759,CLOSED
10,0.33772,CLOSED
11,0.33764,CLOSED
12,0.33792,CLOSED
13,0.33689,CLOSED
14,0.33680,CLOSED
15,0.33682,CLOSED
16,0.33713,CLOSED
17,0.33649,CLOSED
18,0.33645,CLOSED
19,0.33688,CLOSED
20,0.33746,CLOSED
21,0.33733,CLOSED
22,0.33764,CLOSED
23,0.33729,CLOSED
24,0.33848,CLOSED
25,0.33789,CLOSED
26,0.33832,CLOSED
27,0.32187,CLOSED
28,0.32704,CLOSED
29,0.32042,CLOSED
30,0.32473,CLOSED
31,0.32873,CLOSED
32,0.33774,CLOSED
33,0.33836,CLOSED
34,0.33691,CLOSED
35,0.33733,CLOSED
36,0.33772,CLOSED
37,0.29350,CLOSED
38,0.33924,CLOSED
39,0.29484,CLOSED
40,0.30414,CLOSED
41,0.30232,CLOSED
42,0.33237,CLOSED
43,0.30387,CLOSED
44,0.30532,CLOSED
45,0.29742,CLOSED
46,0.29087,CLOSED
47,0.27669,CLOSED
48,0.28054,CLOSED
49,0.26164,CLOSED
50,0.25511,CLOSED
51,0.31744,CLOSED
52,0.31250,CLOSED
53,0.30973,CLOSED
54,0.26557,CLOSED
55,0.22796,CLOSED
56,0.20492,CLOSED
57,0.16696,CLOSED
58,0.12082,CLOSED
59,0.09628,CLOSED
60,0.08337,CLOSED
61,0.08155,CLOSED
62,0.07943,CLOSED
63,0.07991,CLOSED
64,0.08264,CLOSED
65,0.08692,CLOSED
66,0.08815,CLOSED
67,0.08920,CLOSED
68,0.08899,CLOSED
69,0.09258,CLOSED
70,0.09006,CLOSED
71,0.08572,CLOSED
72,0.01125,CLOSED
73,0.00000,CLOSED
74,0.00053,CLOSED
75,0.00710,CLOSED
76,0.00285,CLOSED
77,0.00665,CLOSED
78,0.00574,CLOSED
79,0.00489,CLOSED
80,0.00509,CLOSED
81,0.00487,CLOSED
82,0.00519,CLOSED
83,0.00569,CLOSED
84,0.00538,CLOSED
85,0.00704,CLOSED
86,0.00272,CLOSED
87,0.00341,CLOSED
88,0.00378,CLOSED
89,0.00255,CLOSED
90,0.00218,CLOSED
91,0.00318,CLOSED
92,0.00449,CLOSED
93,0.00260,CLOSED
94,0.00282,CLOSED
95,0.00386,CLOSED
96,0.00171,CLOSED
97,0.00396,CLOSED
98,0.00459,CLOSED
99,0.00414,CLOSED
100,0.00347,CLOSED
101,0.00454,CLOSED
102,0.00488,CLOSED
103,0.00506,CLOSED
104,0.00578,CLOSED
105,0.00670,CLOSED
106,0.00665,CLOSED
107,0.00529,CLOSED
108,0.00566,CLOSED
109,0.00618,CLOSED
110,0.00640,CLOSED
111,0.00572,CLOSED
112,0.00699,CLOSED
113,0.00353,CLOSED
114,0.00368,CLOSED
115,0.00406,CLOSED
116,0.00796,CLOSED
117,0.00897,CLOSED
118,0.00884,CLOSED
119,0.00972,CLOSED
120,0.01092,CLOSED
121,0.01211,CLOSED
122,0.00951,CLOSED
123,0.01205,CLOSED
124,0.01119,CLOSED
125,0.01089,CLOSED
126,0.00779,CLOSED
127,0.00828,CLOSED
128,0.01296,CLOSED
129,0.00953,CLOSED
130,0.01046,CLOSED
131,0.00684,CLOSED
132,0.00627,CLOSED
133,0.00901,CLOSED
134,0.00620,CLOSED
135,0.00523,CLOSED
136,0.00526,CLOSED
137,0.00722,CLOSED
138,0.00842,CLOSED
139,0.00594,CLOSED
140,0.00707,CLOSED
141,0.00593,CLOSED
142,0.00671,CLOSED
143,0.00981,CLOSED
144,0.01183,CLOSED
145,0.01390,CLOSED
146,0.01265,CLOSED
147,0.01007,CLOSED
148,0.01327,CLOSED
149,0.02037,CLOSED
150,0.03197,CLOSED
151,0.01055,CLOSED
152,0.00902,CLOSED
153,0.00776,CLOSED
154,0.00931,CLOSED
155,0.00728,CLOSED
156,0.00840,CLOSED
157,0.00718,CLOSED
158,0.00743,CLOSED
159,0.00891,CLOSED
160,0.01054,CLOSED
161,0.01016,CLOSED
162,0.01225,CLOSED
163,0.01151,CLOSED
164,0.01183,CLOSED
165,0.00000,CLOSED
166,0.00000,CLOSED
167,0.01136,CLOSED
168,0.01042,CLOSED
169,0.00919,CLOSED
170,0.00951,CLOSED
171,0.00807,CLOSED
172,0.00718,CLOSED
173,0.00703,CLOSED
174,0.09438,CLOSED
175,0.13180,CLOSED
176,0.16810,CLOSED
177,0.00000,CLOSED
178,0.26432,CLOSED
179,0.30323,CLOSED
180,0.33017,CLOSED
181,0.35597,CLOSED
182,0.39462,CLOSED
183,0.39217,CLOSED
184,0.43144,CLOSED
185,0.46506,CLOSED
186,0.48073,CLOSED
187,0.53508,OPEN
188,0.59657,OPEN
189,0.63727,OPEN
190,0.66666,OPEN
191,0.68204,OPEN
192,0.69657,OPEN
193,0.71041,OPEN
194,0.72568,OPEN
195,0.74496,OPEN
196,0.75439,OPEN
197,0.74919,OPEN
198,0.74369,OPEN
199,0.72994,OPEN
200,0.69225,OPEN
201,0.65047,OPEN
202,0.63359,OPEN
203,0.62685,OPEN
204,0.60933,OPEN
205,0.61543,OPEN
206,0.59041,OPEN
207,0.57827,OPEN
208,0.57961,OPEN
209,0.59110,OPEN
210,0.57052,OPEN
211,0.58498,OPEN
212,0.61377,OPEN
213,0.63261,OPEN
214,0.62967,OPEN
215,0.65642,OPEN
216,0.66567,OPEN
217,0.63919,OPEN
218,0.58493,OPEN
219,0.55707,OPEN
220,0.55407,OPEN
221,0.54750,OPEN
222,0.52782,OPEN
223,0.49344,CLOSED
224,0.43639,CLOSED
225,0.39670,CLOSED
226,0.69939,OPEN
227,0.74336,OPEN
228,0.74688,OPEN
229,0.76873,OPEN
230,0.79186,OPEN
231,0.85058,OPEN
232,0.86744,OPEN
233,0.85830,OPEN
234,0.85236,OPEN
235,0.87345,OPEN
236,0.86032,OPEN
237,0.82579,OPEN
238,0.77358,OPEN
239,0.72924,OPEN
240,0.67555,OPEN
241,0.63294,OPEN
242,0.59940,OPEN
243,0.58343,OPEN
244,0.56716,OPEN
245,0.55147,OPEN
246,0.54803,OPEN
247,0.53719,OPEN
248,0.52351,OPEN
249,0.69466,OPEN
250,0.69626,OPEN
251,0.69751,OPEN
252,0.69897,OPEN
253,0.69946,OPEN
254,0.70003,OPEN
255,0.69791,OPEN
256,0.70389,OPEN
257,0.70387,OPEN
258,0.70432,OPEN
259,0.70439,OPEN
260,0.70541,OPEN
261,0.70389,OPEN
262,0.70353,OPEN
263,0.74299,OPEN
264,0.87725,OPEN
265,0.98183,OPEN
