frame_idx,cx,cy
135,39.74,318.94
136,39.80,318.94
137,39.63,318.87
138,39.61,318.90
139,39.75,318.99
140,39.57,318.82
141,39.38,318.82
142,38.88,318.89
143,38.88,318.93
144,38.66,319.11
145,39.00,319.33
146,39.04,319.39
147,39.10,319.41
148,39.01,319.58
149,39.31,319.76
150,39.10,320.58
151,39.42,319.29
152,39.51,319.28
153,39.48,319.17
154,39.51,319.14
155,39.49,319.05
156,39.68,319.07
157,39.72,318.92
158,39.66,318.87
159,39.70,318.85
160,39.80,318.90
161,39.89,318.85
162,39.73,318.77
163,39.62,318.85
164,39.45,318.94
165,39.11,319.65
166,38.71,321.60
167,39.62,318.95
168,39.58,318.96
169,39.84,319.13
170,39.75,319.21
171,39.64,319.22
172,39.53,319.29
173,39.54,319.40
174,35.59,314.47
175,35.12,312.45
176,34.76,310.39
177,39.61,319.58
178,34.04,305.29
179,33.78,303.18
180,33.59,301.58
181,33.47,300.08
182,33.48,298.02
183,33.50,298.12
184,33.64,295.79
185,33.72,293.95
186,33.51,292.87
187,33.69,289.65
188,34.09,286.49
189,34.56,284.39
190,34.69,283.14
191,35.57,281.48
192,36.24,280.52
193,36.95,279.52
194,37.74,278.34
195,38.54,277.13
196,39.07,276.62
197,39.64,276.75
198,39.56,276.97
199,39.20,277.48
200,38.84,279.31
201,39.05,280.63
202,39.44,281.14
203,39.82,281.38
204,40.04,281.38
205,40.53,283.09
206,41.10,283.52
207,41.38,285.15
208,41.57,286.64
209,41.73,288.10
210,41.94,288.97
211,42.10,288.86
212,42.32,287.35
213,42.38,287.33
214,42.48,287.01
215,43.20,286.32
216,44.49,286.26
217,45.42,286.97
218,46.68,289.79
219,47.50,291.29
220,47.81,293.08
221,47.96,294.91
222,48.32,297.82
223,48.56,301.51
224,48.53,307.12
225,48.25,311.56
226,47.98,298.84
227,47.63,299.65
228,47.44,300.89
229,47.83,299.74
230,47.60,299.98
231,47.61,300.89
232,47.74,301.25
233,47.91,301.74
234,48.03,302.26
235,48.22,303.53
236,49.14,304.93
237,50.27,306.73
238,51.85,309.47
239,53.11,311.79
240,54.04,314.73
241,54.97,316.99
242,55.96,318.83
243,56.82,319.65
244,58.10,320.55
245,59.59,321.53
246,61.22,321.68
247,63.53,322.48
248,65.51,323.41
249,51.75,313.50
250,51.92,313.28
251,51.85,313.26
252,51.70,313.12
253,51.72,313.14
254,51.73,313.00
255,51.91,313.15
256,51.66,312.92
257,51.72,313.00
258,51.66,312.98
259,51.59,312.84
260,51.46,312.97
261,51.49,313.07
262,51.46,313.29
263,50.70,313.64
264,48.97,314.01
265,48.12,314.34
266,48.27,314.39
267,48.26,314.33
268,48.13,314.27
269,48.16,314.40
270,48.11,314.48
271,48.08,314.49
272,48.15,314.68
273,47.96,314.43
274,48.06,314.26
275,47.89,314.50
276,48.03,314.59
277,48.16,314.38
278,48.21,314.42
279,48.14,314.35
280,48.09,314.09
281,47.99,313.89
282,47.92,313.75
283,47.94,313.53
284,47.92,313.36
285,47.90,313.35
286,47.91,313.23
287,47.79,313.10
288,47.82,312.78
289,47.70,312.62
290,47.64,312.48
291,47.58,312.41
292,47.68,312.37
293,47.72,312.42
294,47.75,312.37
295,47.74,312.36
296,47.67,312.35
297,47.71,312.42
298,47.68,312.48
299,47.70,312.48
300,47.71,312.59
301,47.70,312.63
302,47.72,312.66
303,47.72,312.70
304,47.70,312.64
305,47.66,312.70
306,47.72,312.78
307,47.70,312.88
308,47.72,312.88
309,47.69,312.97
310,47.70,312.89
311,47.63,313.07
312,47.91,313.26
313,48.11,313.24
314,48.02,313.08
315,47.99,313.00
316,47.94,313.03
317,47.92,313.00
318,47.93,313.05
319,47.94,313.04
320,47.94,313.06
321,47.94,313.04
322,47.90,313.04
323,47.98,312.96
324,47.91,313.06
325,47.84,313.12
326,47.95,313.05
327,47.92,312.92
328,47.95,312.84
329,47.86,312.87
330,47.83,312.86
331,47.79,312.90
332,47.93,312.86
333,47.87,312.90
334,47.94,312.93
335,47.84,312.97
336,47.85,312.96
337,47.87,312.94
338,47.90,312.92
339,47.84,312.91
340,47.82,312.85
341,47.83,312.85
342,47.88,312.99
343,47.89,313.01
344,47.95,312.95
345,47.96,312.98
346,47.82,312.95
347,47.79,312.95
348,47.78,312.96
349,47.84,313.03
350,47.89,313.06
351,47.90,313.08
352,47.85,313.00
353,47.87,312.98
354,47.85,312.94
355,47.89,312.99
356,47.93,312.96
357,47.87,313.03
358,47.88,312.98
359,47.90,312.94
360,47.89,312.92
361,47.92,313.00
362,47.91,312.84
