frame_idx,cx,cy
0,55.85,311.75
1,55.84,311.80
2,55.86,311.70
3,55.83,311.59
4,55.82,311.68
5,55.79,311.69
6,55.74,311.63
7,55.76,311.66
8,55.74,311.60
9,55.77,311.67
10,55.80,311.63
11,55.77,311.64
12,55.72,311.75
13,55.82,311.67
14,55.81,311.64
15,55.78,311.60
16,55.76,311.56
17,55.82,311.55
18,55.71,311.68
19,55.73,311.69
20,55.80,311.66
21,55.82,311.66
22,55.85,311.67
23,55.87,311.68
24,55.87,311.69
25,55.96,311.65
26,56.01,311.61
27,56.07,311.67
28,56.09,311.75
29,56.10,311.77
30,56.15,311.81
31,55.95,311.79
32,55.85,311.87
33,55.95,312.01
34,55.99,311.99
35,56.00,312.15
36,55.96,312.09
37,55.99,312.16
38,56.02,311.98
39,56.04,312.06
40,56.02,312.00
41,56.05,312.02
42,55.96,311.99
43,55.94,311.82
44,55.88,311.85
45,55.99,311.99
46,55.74,312.16
47,55.38,312.38
48,55.18,312.42
49,55.21,312.33
50,55.06,312.33
51,55.00,312.30
52,55.38,312.12
53,55.60,311.99
54,55.41,312.31
55,54.77,312.82
56,54.80,312.99
57,54.44,313.40
58,53.88,314.03
59,53.88,314.01
60,54.10,313.98
61,54.10,313.87
62,54.08,313.86
63,53.95,313.91
64,53.75,314.28
65,53.36,314.87
66,52.97,315.33
67,52.43,315.74
68,51.65,316.18
69,50.11,317.07
70,48.40,318.21
71,45.00,319.45
72,40.00,318.00
73,39.10,318.33
74,39.31,318.84
75,39.14,318.64
76,39.20,318.83
77,39.07,318.61
78,39.13,318.68
79,39.16,318.65
80,39.13,318.63
81,39.06,318.63
82,39.11,318.67
83,39.16,318.64
84,39.02,318.62
85,39.11,318.78
86,39.22,318.62
87,39.02,318.67
88,39.11,318.70
89,39.05,318.69
90,39.07,318.65
91,39.12,318.71
92,39.13,318.79
93,39.23,318.72
94,39.07,318.68
95,39.00,318.70
96,39.33,318.59
97,39.17,318.74
98,39.21,318.69
99,39.17,318.69
100,39.25,318.64
101,39.11,318.56
102,39.17,318.54
103,39.20,318.58
104,39.20,318.63
105,39.26,318.61
106,39.25,318.62
107,39.22,318.64
108,39.19,318.69
109,39.30,318.73
110,39.32,318.78
111,39.33,318.76
112,39.30,318.88
113,39.52,318.69
114,39.48,318.63
115,39.50,318.69
116,39.38,318.91
117,39.35,319.00
118,39.41,319.00
119,39.35,319.08
120,39.36,319.11
121,39.39,319.19
122,39.54,319.07
123,39.35,319.18
124,39.47,319.09
125,39.37,319.05
126,39.51,318.96
127,39.66,319.03
128,39.41,319.04
129,39.72,318.86
130,39.58,318.93
131,39.69,319.06
132,39.75,318.95
133,39.55,318.78
134,39.67,318.93
